experiment,strain,replicates,normalized.growth.rate.mean,normalized.growth.rate.sd,normalized.growth.rate.sem,normalized.growth.rate.95CI.range,normalized.GFP.rate.mean,normalized.GFP.rate.sd,normalized.GFP.rate.sem,normalized.GFP.rate.95CI.range,p.value,translational.burden.fraction.p.value,category,burden.mean,burden.sd,burden.sem,burden.95CI.range,burden.cv,translational.burden.fraction.mean,translational.burden.fraction.sd,translational.burden.fraction.sem,translational.burden.fraction.95CI.range
exp008,BB155,3,1.046196384,0.092581422,0.053451909,0.229985001,0.962755421,0.010290458,0.005941199,0.025562914,0.998476415,0.999986208,no burden,-0.046196384,0.092581422,0.053451909,0.229985001,-2.004083725,-0.806222828,-0.222754617,-1.157058278,-4.978419959
exp008,BB156,3,0.993105686,0.010155184,0.005863098,0.025226875,1.100870007,0.005516836,0.003185147,0.01370458,0.438095262,0.018065415,no burden,0.006894314,0.010155184,0.005863098,0.025226875,1.472979589,-14.63089842,0.800200854,0.850425162,3.659084145
exp008,BB164,3,1.010601844,0.035749279,0.020639856,0.088806133,1.032874418,0.025965256,0.014991047,0.064501271,0.952672434,0.500474105,no burden,-0.010601844,0.035749279,0.020639856,0.088806133,-3.371987016,3.100820882,-2.44912642,-1.946817612,-8.376480111
exp008,BB165,3,0.966131298,0.037460217,0.021627667,0.093056339,0.955015961,0.035609254,0.020559012,0.08845829,0.350293887,0.911488541,no burden,0.033868702,0.037460217,0.021627667,0.093056339,1.106042296,1.328189035,1.05139114,0.638573818,2.747561379
exp008,JEB1204,3,0.84554348,0.026069006,0.015050948,0.064759001,0.875071906,0.044558493,0.025725858,0.110689433,NA,NA,control,0.15445652,0.026069006,0.015050948,0.064759001,0.168778929,0.808823695,0.288485672,0.09744456,0.419270103
exp008,JEB1205,3,0.894858421,0.00406377,0.002346219,0.010094964,0.890158126,0.014555895,0.00840385,0.036158847,NA,NA,control,0.105141579,0.00406377,0.002346219,0.010094964,0.038650455,1.044704442,0.138440898,0.022314851,0.096013053
exp008,JEB1206,3,0.580056492,0.021907907,0.012648536,0.054422258,0.572824359,0.024290695,0.014024239,0.060341432,NA,NA,control,0.419943508,0.021907907,0.012648536,0.054422258,0.052168701,1.017221679,0.057842768,0.030119613,0.129594237
exp008,JEB1207,3,0.777841984,0.021741153,0.01255226,0.054008018,0.751441647,0.034467984,0.0199001,0.085623219,NA,NA,control,0.222158016,0.021741153,0.01255226,0.054008018,0.097863464,1.118835853,0.155150756,0.056501497,0.24310632
exp008,JEB1208,3,0.686109585,0.008007907,0.004623367,0.019892744,0.655693757,0.064167382,0.037047055,0.159400614,NA,NA,control,0.313890415,0.008007907,0.004623367,0.019892744,0.025511793,1.096899511,0.204426064,0.01472924,0.063374806
exp009,BB205,3,1.014672444,0.022162262,0.012795388,0.05505411,1.002790395,0.022285616,0.012866606,0.055360539,0.999177152,0.975274842,no burden,-0.014672444,0.022162262,0.012795388,0.05505411,-1.510468264,0.190179312,-1.518875481,-0.872069259,-3.752211176
exp009,BB206,3,0.989366981,0.085234576,0.049210206,0.211734426,0.996113257,0.053237688,0.030736794,0.132249749,0.730464231,0.772996474,no burden,0.010633019,0.085234576,0.049210206,0.211734426,8.016028002,0.365535245,5.006827248,4.628055925,19.91291746
exp009,BB208,5,1.002154495,0.021361618,0.009553206,0.026523952,1.012527698,0.033418322,0.014945128,0.041494328,0.871637658,0.576145901,no burden,-0.002154495,0.021361618,0.009553206,0.026523952,-9.914906981,5.814679224,-15.51097639,-4.4340812,-12.31098304
exp009,BB209,3,0.968084643,0.009233201,0.005330791,0.022936543,0.961309402,0.016035474,0.009258085,0.039834325,0.080074459,0.974108387,no burden,0.031915357,0.009233201,0.005330791,0.022936543,0.289302762,1.212287788,0.502437541,0.167029028,0.718667901
exp009,BB210,3,0.995153767,0.006666549,0.003848934,0.016560625,1.075680615,0.035111203,0.020271462,0.087221063,0.411816225,0.195998188,no burden,0.004846233,0.006666549,0.003848934,0.016560625,1.375614497,-15.61637924,7.24505023,0.7942114,3.417215848
