strain,isolate,well,growth.rate,GFP.rate,other.rate,run
EV106,A,A5,0.918355992428404,396.8537718984626,NA,40
EV106,A,A6,0.7924343788998316,873.1507711677694,NA,40
EV106,B,A10,0.9577587677022423,762.0504973221117,NA,40
EV106,B,A11,0.9648956166159092,446.3548830811567,NA,40
EV106,B,A12,1.443926398961541,672.494956287829,NA,40
EV106,B,A7,0.9815984867779175,327.6623950508179,NA,40
EV106,B,A8,0.9434955362055959,1030.8464849354373,NA,40
EV106,B,A9,1.058585609393245,342.0268256333829,NA,40
EV106,C,B1,3.643132649049643,1209.4320486815411,NA,40
EV106,C,B2,0.8614316827940985,460.2780536246275,NA,40
EV106,C,B3,0.8907739190892429,591.2571005186464,NA,40
EV106,C,B4,0.8844305699973907,857.0363003480852,NA,40
EV106,C,B5,0.8729747287122226,750.856359899522,NA,40
EV106,C,B6,0.8791915431262126,314.4685039370078,NA,40
EV109,A,E10,1.2555589895658397,1197.0579221575233,NA,40
EV109,A,E11,1.2584872637376772,405.99369085173487,NA,40
EV109,A,E12,1.473562323746651,824.7678018575849,NA,40
EV109,A,E7,1.2548910033372276,1286.1043689320388,NA,40
EV109,A,E8,1.087015384630948,671.8274813381256,NA,40
EV109,A,E9,1.2005441965115855,594.4558521560592,NA,40
EV109,B,F1,1.965793695251436,871.9879518072308,NA,40
EV109,B,F2,1.2195575882710261,962.9959875167185,NA,40
EV109,B,F3,1.007079289227594,827.4710596616205,NA,40
EV109,B,F4,1.0396868764592693,865.8892128279881,NA,40
EV109,B,F5,0.9829395293370279,441.0824632431281,NA,40
EV109,B,F6,1.0236710195475167,490.81803005008464,NA,40
EV109,C,F10,1.0538585109401262,501.2987012987003,NA,40
EV109,C,F11,1.0318352924518819,881.8481848184836,NA,40
EV109,C,F12,1.1307231237391568,443.92209536601877,NA,40
EV109,C,F7,1.0469689347606557,698.2758620689654,NA,40
EV109,C,F8,1.6130903327877868,920.4265791632487,NA,40
EV109,C,F9,1.1447713180131842,1038.7811634349027,NA,40
EV112,A,B10,1.3264061097718716,561.5693012600238,NA,40
EV112,A,B11,1.2392286324799997,1262.0320855614984,NA,40
EV112,A,B12,1.278109665177177,467.8044996121025,NA,40
EV112,A,B7,1.2615733200583796,802.1390374331553,NA,40
EV112,A,B8,1.0933382659908562,828.8614938361128,NA,40
EV112,A,B9,1.3187866615351327,386.49370469286475,NA,40
EV112,B,C1,1.3002331154961726,622.8948566226677,NA,40
EV112,B,C2,1.2692557890410083,773.4513274336301,NA,40
EV112,B,C3,1.3004849135542766,850.7407407407422,NA,40
EV112,B,C4,1.2870283692404176,440.2754537263484,NA,40
EV112,B,C5,1.337707239781008,838.7387387387406,NA,40
EV112,B,C6,1.3705771246614535,914.7121535181241,NA,40
EV112,C,C10,1.354131196052157,633.7068776093158,NA,40
EV112,C,C11,1.3480231567388539,687.5699888017916,NA,40
EV112,C,C12,1.332254982020539,1178.2141533901442,NA,40
EV112,C,C7,1.3700430970977089,528.9617486338797,NA,40
EV112,C,C8,1.3118475920823678,754.7169811320754,NA,40
EV112,C,C9,1.3849825484857323,499.510922725792,NA,40
EV127,A,G1,3.2716013043087306,3920.6896551724253,NA,40
EV127,A,G2,6.670237959880891,3922.242314647373,NA,40
EV127,A,G3,1.2453217140632442,631.8722139673102,NA,40
EV127,A,G4,1.2661228115890095,669.4884726224782,NA,40
EV127,A,G5,1.217707158179778,420.2660535391699,NA,40
EV127,A,G6,1.2287775351294021,768.6611374407587,NA,40
EV127,B,G10,1.4744513584688246,1664.6292851448306,NA,40
EV127,B,G11,1.549909279164917,845.755460481875,NA,40
EV127,B,G12,1.682593462107803,657.9565472695242,NA,40
EV127,B,G7,1.2235339753528223,844.3832874655991,NA,40
EV127,B,G8,1.4326778487958265,1486.3050483351235,NA,40
EV127,B,G9,1.4489163321281855,948.2439926062848,NA,40
EV127,C,H3,1.5409930060490118,930.112848940804,NA,40
EV127,C,H4,1.766652081035246,1538.7903398162005,NA,40
EV127,C,H5,1.5637875305610316,781.0420386300946,NA,40
EV127,C,H6,1.6091543457999795,1299.4739706149098,NA,40
EV127,C,H7,1.399118749465115,1533.4685598377278,NA,40
EV127,C,H8,1.4917126052622836,815.2371954922737,NA,40
EV373,A,D1,1.3089673231439254,740.7735786323854,NA,40
EV373,A,D2,1.4760385513632577,756.9167710349556,NA,40
EV373,A,D3,1.5280140375057774,1613.793103448276,NA,40
EV373,A,D4,1.4679229744351772,967.0122525918945,NA,40
EV373,A,D5,1.4795483028716374,599.7789851735898,NA,40
EV373,A,D6,1.4272166585105523,901.5380570527145,NA,40
EV373,B,D10,1.5093756322601664,715.7742241043065,NA,40
EV373,B,D11,1.4337718108891324,645.1773490976974,NA,40
EV373,B,D12,1.442326235302387,913.692120676319,NA,40
EV373,B,D7,1.4378237024312552,660.1916932907346,NA,40
EV373,B,D8,1.4055456191137883,875.1528627015024,NA,40
EV373,B,D9,1.4826344039155397,758.7694403451034,NA,40
EV373,C,E1,1.5879734610750047,808.1600627697153,NA,40
EV373,C,E2,1.667033450616545,1590.3242408646422,NA,40
EV373,C,E3,1.4207410611507636,1300.8962868117799,NA,40
EV373,C,E4,1.381698517891306,716.526815031012,NA,40
EV373,C,E5,1.5914127548446824,929.782082324455,NA,40
EV373,C,E6,1.7002250061475508,1263.7974683544298,NA,40
EV106,A,A1,0.8884700983282627,437.542896362389,NA,41
EV106,A,A2,0.9916617897693119,358.5122770549915,NA,41
EV106,A,A3,1.0075486281641357,699.7201373871014,NA,41
EV106,A,A4,1.0521962545550698,589.7839168490156,NA,41
EV106,A,A5,0.9935901148920184,361.1247161494279,NA,41
EV106,A,A6,1.0088927381567787,341.14454859398137,NA,41
EV106,B,A10,0.8382588833820666,352.36999208803906,NA,41
EV106,B,A11,0.7756559092595405,312.7709473384976,NA,41
EV106,B,A12,0.8413456540015165,416.4014384326046,NA,41
EV106,B,A7,0.8063416716689507,259.08486243375074,NA,41
EV106,B,A8,0.7775664493309633,608.2303726043382,NA,41
EV106,B,A9,0.7906190511706732,251.89464995873038,NA,41
EV106,C,B1,0.9213122433542535,333.83233532934133,NA,41
EV106,C,B2,0.8013756527394367,478.46989966555174,NA,41
EV106,C,B3,0.7770980101833143,342.90375203915147,NA,41
EV106,C,B4,0.8013182365598626,236.6999168744805,NA,41
